,id,score_normalized,reviewed_at,vintage_id
224,3504033,95,2019-12-02T00:00:00Z,4381091
225,3504034,96,2014-01-01T00:00:00Z,4381091
226,3506393,96,2020-04-30T00:00:00Z,4381091
227,3507101,96,2020-06-10T00:00:00Z,4381091
228,3507102,95,2015-01-01T00:00:00Z,4381091
229,3507103,91,2020-06-10T00:00:00Z,4381091
230,1871067,87,2017-02-28T00:00:00Z,3224542
231,2508115,85,2013-07-01T00:00:00Z,3224542
232,1587405,88,2016-06-27T00:00:00Z,6803682
233,1807946,89,2016-12-30T00:00:00Z,6803682
234,416994,89,2016-12-30T00:00:00Z,2272273
235,1545494,87,2016-07-19T00:00:00Z,2272273
236,3022894,91,2017-04-01T00:00:00Z,2272273
237,3498145,93,2019-06-16T00:00:00Z,91447482
238,3498146,92,2019-08-30T00:00:00Z,91447482
239,3502723,90,2019-09-13T00:00:00Z,91447482
240,3503947,93,2019-11-27T00:00:00Z,91447482
241,3504025,2,2019-12-02T00:00:00Z,91447482
242,3506238,90,2020-04-21T00:00:00Z,91447482
243,3506239,92,2020-04-21T00:00:00Z,91447482
244,2947514,91,2018-04-27T00:00:00Z,150994089
245,3310584,92,2019-01-07T00:00:00Z,150994089
246,3339366,91,2019-02-27T00:00:00Z,150994089
247,3485211,89,2019-04-30T00:00:00Z,150994089
248,2949523,90,2018-04-27T00:00:00Z,4386408
249,3012869,90,2017-10-01T00:00:00Z,4386408
250,3123497,94,2018-08-31T00:00:00Z,15652660
251,1698121,93,2017-10-31T00:00:00Z,14440756
252,1964311,96,2017-10-05T00:00:00Z,14440756
253,3187875,94,2017-09-29T00:00:00Z,14440756
254,1697546,92,2017-10-31T00:00:00Z,87112774
255,3323682,93,2018-12-13T00:00:00Z,87112774
256,3506884,94,2020-05-27T00:00:00Z,87112774
257,3506886,94,2020-05-27T00:00:00Z,87112774
258,3224573,91,2018-10-04T00:00:00Z,86033798
259,3299967,92,2018-10-04T00:00:00Z,86033798
260,3516373,95,2019-07-15T00:00:00Z,86033798
261,3493930,91,2019-05-31T00:00:00Z,113275218
262,229296,93,2010-04-27T00:00:00Z,1417831
263,1369662,92,2010-08-26T00:00:00Z,1417831
264,2506207,88,2012-03-01T00:00:00Z,1417831
265,2542913,92,2013-03-01T00:00:00Z,1417831
266,2542914,90,2010-03-01T00:00:00Z,1417831
267,2839897,88,2010-06-01T00:00:00Z,1417831
268,3169730,96,2012-11-12T00:00:00Z,1417831
269,1919046,94,2005-04-29T00:00:00Z,88769
270,2833831,90,2005-06-01T00:00:00Z,88769
271,2838545,90,2007-03-01T00:00:00Z,88769
272,203987,96,2015-10-30T00:00:00Z,3423594
273,1545506,92,2016-07-19T00:00:00Z,3423594
274,1979552,93,2016-04-19T00:00:00Z,3423594
275,3169638,97,2016-04-19T00:00:00Z,3423594
276,3018878,90,2018-04-01T00:00:00Z,141201592
277,1365778,91,2012-04-13T00:00:00Z,2078573
278,2543557,90,2016-02-01T00:00:00Z,2078573
279,2543558,87,2012-04-01T00:00:00Z,2078573
280,2663057,91,2012-04-26T00:00:00Z,2078573
281,182207,92,2015-10-30T00:00:00Z,1490656
